id,name,price,original_price,discount,discount_rate,rating_average,review_count,short_description,all_time_quantity_sold,authors,categories,publisher_vn,book_cover,number_of_page,manufacturer
262800022,Anime Comics: One Piece Stampede,154000,154000,0,0,5.0,2,"Anime Comics: One Piece Stampede Tập 1“Hội chợ Hải tặc”, nơi các Hải tặc trên toàn thế giới tập hợp lại, đã khai mạc! Tại đó có một cuộc chiến đặt cược kho báu của Vua Hải tặc, và băng Mũ Rơm của Luf...",13,"['Eiichiro Oda', 'Ban biên tập Jump Comics']","Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,,Nhà Xuất Bản Kim Đồng
206308047,Thám Tử Lừng Danh Conan SDB 60+,27100,35000,7900,23,5.0,13,"Thám Tử Lừng Danh Conan SDB 60+Sau 2 năm, series Conan SDB cuối cùng cũng tái xuất với cuốn SDB 60+!!Cuốn sách bao gồm những thông tin tổng hợp từ tập 51 đến tập 60 của bộ Thám tử lừng danh Conan, n...",146,['Gosho Aoyama'],"Truyện Tranh, Manga, Comic",Kim Đồng,Bìa mềm,240,Nhà Xuất Bản Kim Đồng
215984899,HEARTSTOPPER - 1,103000,115000,12000,10,4.8,38,"Nick và Charlie học cùng trường nhưng chưa từng gặp mặt… Ấy là cho đến khi cả hai được xếp ngồi cạnh nhau. Họ nhanh chóng trở thành bạn bè. Charlie sớm phải lòng Nick, dẫu biết gần như không có cơ may...",255,['ALICE OSEMAN'],"Truyện Tranh, Manga, Comic",IPM,Bìa mềm,288,Nhà Xuất Bản Hội Nhà Văn
242086779,Doraemon - Chú Mèo Máy Đến Từ Tương Lai Tập 6 [Tái Bản 2023],17000,22000,5000,23,5.0,1,"Những câu chuyện về chú mèo máy thông minh Doraemon và nhóm bạn Nobita, Shizuka, Suneo, Jaian, Dekisugi sẽ đưa chúng ta bước vào thế giới hồn nhiên, trong sáng đầy ắp tiếng cười với một kho bảo bối kì...",13,['Fujiko F Fujio'],"Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,192,Nhà Xuất Bản Kim Đồng
209176768,Thám Tử Lừng Danh Conan Tuyển Tập Đặc Biệt - Vs. Tổ Chức Áo Đen Part.3 [Tặng Kèm Postcard],56100,75000,18900,25,5.0,11,"Đặc vụ tình báo CIA, Rena MIZUNASHI = Kir đã thành công thâm nhập lại vào Tổ chức Áo đen nhờ cái chết của đặc vụ FBI Shuichi AKAI! Chưa hết, cô còn tiết lộ thông tin thành viên mới của tổ chức đã bắt ...",159,['Gosho Aoyama'],"Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,512,Nhà Xuất Bản Kim Đồng
247390429,One-Punch Man - Tập 24: Vật Tế - Tặng Kèm Card PVC,23750,25000,1250,5,5.0,2,"    One-Punch Man - Tập 24: Vật TếĐội lính đánh thuê và 3 học trò của Võ Sĩ Hạt Nhân đụng độ quái nhân nước, kẻ không thể chém cũng không thể chết. Đội trưởng biệt đội lính đánh thuê đã dính đạn tr...",50,"['One', ' Yusuke Murata']",Root,Nhà Xuất Bản Kim Đồng,,,Nhà Xuất Bản Kim Đồng
262477161,Bluelock Tập 8 [Tặng Kèm PVC Card],35000,35000,0,0,4.8,4,"CẠNH TRANH, HẤP THỤ LẪN NHAU ĐI MÀ PHÁT TRIỂN!ĐƯƠNG ĐẦU VỚI TRẬN ĐẤU 3 VS. 3 TRƯỚC NHỮNG ĐỒNG ĐỘI CŨ!!Trận tiếp theo của “quyết chiến giành kẻ địch” sẽ là 3 vs. 3! Những kẻ ngáng đường đội Isagi và ...",23,"['Muneyuki Kaneshiro', 'Yusuke Nomura']","Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,192,Nhà Xuất Bản Kim Đồng
252868468,Con Trai Tôi Hình Như Là Gay – Tập 1 [Tặng Mini-Card + Bìa Áo 2 Mặt],34100,36000,1900,5,5.0,6,"Chồng tôi đi làm xa, bình thường tôi sống cùng hai con trai. Có thể tôi đang thiên vị thôi, nhưng tôi thấy hai con mình đều rất ngoan. Điều khiến tôi băn khoăn là hình như cậu con trai lớn Hiroki nhà ...",86,['Okura'],"Truyện Tranh, Manga, Comic",Wings Books,Bìa mềm,130,Nhà Xuất Bản Kim Đồng
246052640,Thị Trấn Mèo – Tập 8 [Tặng Postcard],67900,68000,100,0,4.3,9,"Ông Daikichi bồi hồi nhớ lại hộp cơm cốt lết chiên xù mẹ chuẩn bị cho ông vào ngày ứng thí, hộp cơm “bóng tối” ông ăn cùng vợ trong căn nhà mất điện tối om và hộp cơm bằng nhôm thời chiến tranh một cậ...",124,['Nekomaki (ms-work)'],"Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,176,Nhà Xuất Bản Kim Đồng
243094547,"Phương Pháp ""Đào Tạo"" Nữ Chính Nhạt Nhòa - Tập 1",58100,110000,51900,47,4.8,5,"Câu chuyện “cảm động” này kể về hành trình cậu nam sinh otaku Aki Tomoya “đào tạo” một cô bạn nhạt nhòa thành nàng nữ chính chuẩn mực và lấy cô làm hình mẫu để sản xuất galgame. Trên hành trình ấy, To...",48,['Maruto Fumiaki'],Nhà Sách Tiki,IPM,Bìa mềm,264,Nhà Xuất Bản Hà Nội
242086775,Doraemon - Chú Mèo Máy Đến Từ Tương Lai Tập 13 [Tái Bản 2023],16000,22000,6000,27,5.0,1,"Những câu chuyện về chú mèo máy thông minh Doraemon và nhóm bạn Nobita, Shizuka, Suneo, Jaian, Dekisugi sẽ đưa chúng ta bước vào thế giới hồn nhiên, trong sáng đầy ắp tiếng cười với một kho bảo bối kì...",7,['Fujiko F Fujio'],"Truyện Tranh, Manga, Comic",NXB Kim Đồng,Bìa mềm,192,Nhà Xuất Bản Kim Đồng
242424347,Alice In Borderland - Tập 5,32800,35000,2200,6,5.0,26,"Arisu Ryohei tự nhận mình là một thành phần “ăn hại xã hội”, học hành lẹt đẹt nên đang cực kỳ chán đời. Trong một lần tụ tập than vãn cùng hai thằng bạn thân Karube và Chota, cả ba bất chợt nhìn thấy ...",327,['Haro Aso'],"Truyện Tranh, Manga, Comic",NXB Trẻ,Bìa mềm,168,NXB Trẻ
